"Lake","Parameter","Value"
"Ar","Depth_m",0
"Ar","T_C",25.257
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6381
"Ar","EC25_uScm",634.51
"Ar","Density_kgm3",997.214
"Ar","Chla_ugL",2.64
"Ar","Turbidity_FTU",2.36
"Ar","DO_pc",115.87
"Ar","DO_mgL",9.491
"Ar","Depth_m",0.1
"Ar","T_C",25.244
"Ar","Salinity",0.308
"Ar","Cond_uScm",0.6376
"Ar","EC25_uScm",634.226
"Ar","Density_kgm3",997.217
"Ar","Chla_ugL",3.12
"Ar","Turbidity_FTU",2.52
"Ar","DO_pc",121.99
"Ar","DO_mgL",9.995
"Ar","Depth_m",0.2
"Ar","T_C",25.234
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6379
"Ar","EC25_uScm",634.635
"Ar","Density_kgm3",997.221
"Ar","Chla_ugL",3.18
"Ar","Turbidity_FTU",2.66
"Ar","DO_pc",124.53
"Ar","DO_mgL",10.205
"Ar","Depth_m",0.3
"Ar","T_C",25.23
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6377
"Ar","EC25_uScm",634.519
"Ar","Density_kgm3",997.222
"Ar","Chla_ugL",3.33
"Ar","Turbidity_FTU",2.78
"Ar","DO_pc",126.08
"Ar","DO_mgL",10.33
"Ar","Depth_m",0.4
"Ar","T_C",25.217
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6377
"Ar","EC25_uScm",634.681
"Ar","Density_kgm3",997.226
"Ar","Chla_ugL",3.35
"Ar","Turbidity_FTU",2.85
"Ar","DO_pc",127.63
"Ar","DO_mgL",10.461
"Ar","Depth_m",0.5
"Ar","T_C",25.216
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6376
"Ar","EC25_uScm",634.537
"Ar","Density_kgm3",997.227
"Ar","Chla_ugL",3.52
"Ar","Turbidity_FTU",2.89
"Ar","DO_pc",129.07
"Ar","DO_mgL",10.578
"Ar","Depth_m",0.6
"Ar","T_C",25.215
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6377
"Ar","EC25_uScm",634.714
"Ar","Density_kgm3",997.227
"Ar","Chla_ugL",3.59
"Ar","Turbidity_FTU",3.09
"Ar","DO_pc",129.6
"Ar","DO_mgL",10.622
"Ar","Depth_m",0.7
"Ar","T_C",25.207
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6377
"Ar","EC25_uScm",634.798
"Ar","Density_kgm3",997.23
"Ar","Chla_ugL",3.58
"Ar","Turbidity_FTU",3.05
"Ar","DO_pc",129.78
"Ar","DO_mgL",10.638
"Ar","Depth_m",0.8
"Ar","T_C",25.208
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6376
"Ar","EC25_uScm",634.733
"Ar","Density_kgm3",997.23
"Ar","Chla_ugL",3.71
"Ar","Turbidity_FTU",2.89
"Ar","DO_pc",130.14
"Ar","DO_mgL",10.668
"Ar","Depth_m",0.9
"Ar","T_C",25.163
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6369
"Ar","EC25_uScm",634.631
"Ar","Density_kgm3",997.242
"Ar","Chla_ugL",3.82
"Ar","Turbidity_FTU",2.95
"Ar","DO_pc",130.23
"Ar","DO_mgL",10.681
"Ar","Depth_m",1
"Ar","T_C",25.131
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6367
"Ar","EC25_uScm",634.902
"Ar","Density_kgm3",997.251
"Ar","Chla_ugL",3.89
"Ar","Turbidity_FTU",2.82
"Ar","DO_pc",130.51
"Ar","DO_mgL",10.716
"Ar","Depth_m",1.1
"Ar","T_C",25.094
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6363
"Ar","EC25_uScm",635.017
"Ar","Density_kgm3",997.261
"Ar","Chla_ugL",3.95
"Ar","Turbidity_FTU",2.77
"Ar","DO_pc",130.75
"Ar","DO_mgL",10.738
"Ar","Depth_m",1.2
"Ar","T_C",25.058
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.636
"Ar","EC25_uScm",635.203
"Ar","Density_kgm3",997.271
"Ar","Chla_ugL",4.03
"Ar","Turbidity_FTU",2.62
"Ar","DO_pc",130.48
"Ar","DO_mgL",10.72
"Ar","Depth_m",1.3
"Ar","T_C",24.999
"Ar","Salinity",0.309
